date,text,link,authors
2019-11-05T14:17:00+02:00,U.S. SEC proposes rules that could limit shareholder voices,http://feeds.reuters.com/~r/reuters/businessNews/~3/txWl2xqEFxU/u-s-sec-proposes-rules-that-could-limit-shareholder-voices-idUSKBN1XF1YN,
2019-11-05T14:26:00+02:00,The Tell: Icahn hedge-fund protégé says these have been the 2 biggest ‘pain trades’ lately,http://www.marketwatch.com/news/story.asp?guid={DDFE784E-FFEE-11E9-9F82-755BEE8F00DE}&siteid=rss&rss=1,
2019-11-05T14:31:00+02:00,Interest rates suddenly entered a new phase and they are moving higher thanks to possible trade deal,https://www.cnbc.com/2019/11/05/interest-rates-moving-higher-thanks-to-possible-trade-deal.html,
2019-11-05T14:31:00+02:00,It's not just Boeing. More companies are splitting CEO and chairman roles,https://www.cnbc.com/2019/11/05/its-not-just-boeing-more-companies-are-splitting-ceo-and-chairman-roles.html,
2019-11-05T23:00:00+02:00,French Economic Renaissance Gives Europe New Engine for Growth,https://www.bloomberg.com//news/articles/2019-11-06/french-economic-renaissance-gives-europe-new-engine-for-growth?srnd=markets-vp,
2019-11-05T23:14:00+02:00,Uber in fatal crash had safety flaws say US investigators,https://www.bbc.co.uk/news/business-50312340,
2019-11-05T23:41:00+02:00,Kone Makes $63 Million Bet on Elevator Demand as India Urbanizes,https://www.bloomberg.com//news/articles/2019-11-06/kone-makes-63-million-bet-on-elevator-demand-as-india-urbanizes?srnd=markets-vp,
2019-11-05T23:42:00+02:00,Former Citigroup Executive Leaves HKEX After 11 Months,https://www.bloomberg.com//news/articles/2019-11-06/former-citigroup-executive-chen-leaves-hkex-after-11-months?srnd=markets-vp,
2019-11-05T23:56:00+02:00,India’s Lenders Aren’t Passing on Rate Cuts to Customers,https://www.bloomberg.com//news/articles/2019-11-06/record-rate-spread-shows-challenge-to-reviving-india-s-economy?srnd=markets-vp,
2019-11-05T23:59:00+02:00,SoftBank Takes a $4.6 Billion Hit From WeWork. Its C.E.O. Remains Defiant.,https://www.nytimes.com/2019/11/06/business/softbank-loss-wework.html?emc=rss&partner=rss,
2019-11-06T00:26:00+02:00,Five Things You Need to Know to Start Your Day,https://www.bloomberg.com//news/articles/2019-11-06/five-things-you-need-to-know-to-start-your-day?srnd=markets-vp,
2019-11-06T00:33:00+02:00,Sony's venture arm is 'optimistic' about Europe's tech sector and thinks it can rival the US,https://www.cnbc.com/2019/11/06/web-summit-sony-vc-fund-chief-optimistic-about-europes-tech-sector.html,
2019-11-06T00:35:00+02:00,Mitsubishi to Shut Oil Unit Where Rogue Trader Lost $314m,https://www.bloomberg.com//news/articles/2019-11-06/mitsubishi-to-liquidate-oil-unit-where-trader-lost-314-million?srnd=markets-vp,
2019-11-06T00:57:00+02:00,Quant Asset Manager GSA Cuts Five Jobs in Its Hong Kong Office,https://www.bloomberg.com//news/articles/2019-11-06/quant-asset-manager-gsa-cuts-five-jobs-in-its-hong-kong-office?srnd=markets-vp,
2019-11-06T01:10:00+02:00,Boeing Says India Will be Fastest-Growing Market Over 20 Years,https://www.bloomberg.com//news/articles/2019-11-06/boeing-says-india-will-be-fastest-growing-market-over-20-years?srnd=markets-vp,
2019-11-06T01:18:00+02:00,Thailand Cuts Interest Rate to Record Low to Rein in Surging Baht,https://www.bloomberg.com//news/articles/2019-11-06/thailand-cuts-interest-rate-to-record-low-to-rein-in-currency?srnd=markets-vp,
2019-11-06T02:18:00+02:00,China Gives Digital Currencies a Reprieve as Beijing Warms to Blockchain,https://www.nytimes.com/2019/11/06/business/china-bitcoin.html?emc=rss&partner=rss,
2019-11-06T02:53:00+02:00,Anglo American Says Eskom Poses a Major Risk for Investors,https://www.bloomberg.com//news/articles/2019-11-06/anglo-american-says-eskom-poses-a-major-risk-for-investors?srnd=markets-vp,
2019-11-06T03:18:00+02:00,Deutsche Bank Sees Interest Rates as Biggest Challenge in Europe,https://www.bloomberg.com//news/articles/2019-11-06/deutsche-bank-sees-interest-rates-as-biggest-challenge-in-europe?srnd=markets-vp,
2019-11-06T03:33:00+02:00,Poor clothing sales see M&S's profits slide,https://www.bbc.co.uk/news/business-50313770,
2019-11-06T03:42:00+02:00,India Examines Creating Regulator to Settle E-Commerce Disputes,https://www.bloomberg.com//news/articles/2019-11-06/india-plans-regulator-to-monitor-online-retailers-curb-disputes?srnd=markets-vp,
2019-11-06T04:00:00+02:00,Tech’s Environmental Impact and What You Can Do About It,https://www.nytimes.com/2019/11/06/technology/personaltech/techs-environmental-impact-and-what-you-can-do-about-it.html?emc=rss&partner=rss,
2019-11-06T04:00:00+02:00,Liberty Global Switches to Vodafone for Mobile in Setback for BT,https://www.bloomberg.com//news/articles/2019-11-06/liberty-global-switches-to-vodafone-for-mobile-in-setback-for-bt?srnd=markets-vp,
2019-11-06T04:14:00+02:00,Mozambique’s ENH to Woo Investors for $1.5 Billion Gas Financing,https://www.bloomberg.com//news/articles/2019-11-06/mozambique-s-enh-to-woo-investors-for-1-5-billion-gas-financing?srnd=markets-vp,
2019-11-06T04:19:00+02:00,Lawmakers Increase Criticism of ‘Opportunity Zone’ Tax Break,https://www.nytimes.com/2019/11/06/business/opportunity-zones-congress-criticism.html?emc=rss&partner=rss,
2019-11-06T04:32:00+02:00,WeWork investor Softbank: My judgment was not right,https://www.bbc.co.uk/news/business-50312345,
2019-11-06T04:32:00+02:00,PizzaExpress’s Owner Starts Tackling Debt Pile With Bond Buyback,https://www.bloomberg.com//news/articles/2019-11-06/pizzaexpress-s-owner-starts-tackling-debt-pile-with-bond-buyback?srnd=markets-vp,
2019-11-06T04:52:00+02:00,Why $4.5 Billion From Big Tech Won’t End California Housing Crisis,https://www.nytimes.com/2019/11/06/business/economy/california-housing-apple.html?emc=rss&partner=rss,
2019-11-06T04:52:00+02:00,"CEO departures hit a new high in October, on pace for a record year",https://www.cnbc.com/2019/11/06/ceo-departures-hit-a-new-high-in-october-on-pace-for-a-record-year.html,
2019-11-06T05:06:00+02:00,New York Times Co. Advertising Drops as ‘Turbulence’ Hits Digital Market,https://www.nytimes.com/2019/11/06/business/media/new-york-times-earnings.html?emc=rss&partner=rss,
2019-11-06T05:59:00+02:00,Eskom Bonds Punished as Investors Clamor for Faster Turnaround,https://www.bloomberg.com//news/articles/2019-11-06/eskom-bonds-punished-as-investors-clamor-for-faster-turnaround?srnd=markets-vp,
2019-11-06T06:04:00+02:00,DealBook Conference Live Updates: Boeing’s C.E.O. ‘Thought About’ Resigning,https://www.nytimes.com/2019/11/06/business/dealbook/boeing-dealbook-conference.html?emc=rss&partner=rss,
2019-11-06T06:17:00+02:00,"Stocks have gone too far, too fast and may need to take a rest, Wall Street market analysts say",https://www.cnbc.com/2019/11/06/wall-street-strategists-stocks-have-gone-too-far-too-fast.html,
2019-11-06T06:17:00+02:00,Trader bets a struggling payment stock moves 10% on earnings,https://www.cnbc.com/2019/11/06/trader-bets-square-moves-10percent-on-earnings.html,
2019-11-06T06:26:00+02:00,Tata Steel’s Profit Rises on One-Time Gain Amid Demand Slump,https://www.bloomberg.com//news/articles/2019-11-06/tata-steel-s-profit-rises-on-one-time-gain-amid-demand-slump?srnd=markets-vp,
2019-11-06T06:28:00+02:00,Norway’s Opposition Wants to Treat $1 Trillion Wealth Fund as Political Tool,https://www.bloomberg.com//news/articles/2019-11-06/norway-s-opposition-signals-shift-on-1-trillion-wealth-fund?srnd=markets-vp,
2019-11-06T06:43:00+02:00,Chinese group 'is favourite to buy British Steel',https://www.bbc.co.uk/news/business-50317450,
